Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcome
17700,1,1440,0.55,0.55,0.55,2,35500,0.5447,33,3,2,0.667,1,0,-110,65200,187200,184320,0.0077,
1700,1,1440,0.7,0.7,0.7,2,3400,0.1834,-17,20,9,0.1,2,1400,893,18600,63360,60480,0.0227,
1400,1,1440,0.23,0.23,0.23,3,2700,0.1119,-18,14,4,0.214,0,0,-21,24200,N/A,0,0,
1000,0,2880,0.18,0.18,0.18,1,1000,0.1826,-245,1,1,1,1,757,-245,5500,53280,50400,0.0541,
5300,0,2880,0.83,0.83,0.83,2,10600,0.825,-64,2,1,1,0,0,-64,12800,14400,11520,0.2,
1700,1,2880,0.17,0.18,0.17,2,2600,0.1322,-548,7,5,0.286,4,3000,-1100,19800,411840,408960,0.007,
1500,0,2880,0.38,0.44,0.41,2,1500,0.369,-20,6,5,0.333,3,1500,-24,4100,N/A,0,0,
3100,0,2880,0.64,0.45,0.55,3,3100,0.6172,-25,14,8,0.214,1,3100,-20,5000,115200,110880,0.025,
2600,0,2880,0.84,0.84,0.84,1,2600,0.2369,-46,7,5,0.143,4,2600,-126,11000,273600,270720,0.0105,
1300,0,2880,0.67,0.67,0.67,2,1600,0.67,-0,2,1,1,1,1600,-0,2400,2880,0,1,
2300,1,2880,0.18,0.18,0.18,1,2300,0.0503,-192,6,3,0.167,3,2500,-6100,45700,72000,67680,0.04,
1200,1,2880,0.87,0.87,0.87,1,1200,0.03,-56,11,2,0.091,1,1200,-3800,41200,53280,48960,0.0541,
1700,0,2880,0.81,0.64,0.72,2,1700,0.6966,258,3,2,0.667,2,2300,263,2500,N/A,0,0,
5000,1,2880,0.5,0.5,0.5,1,5000,0.5,-5000,1,1,1,0,0,-5000,10000,11520,7200,0.25,
5100,0,2880,0.84,0.84,0.84,1,5100,0.4568,-30,3,2,0.333,1,5000,524,11100,21600,17280,0.1333,
3200,1,2880,0.63,0.53,0.59,4,3700,0.6202,28,4,1,1,1,3700,28,5900,59040,56160,0.0488,
10000,1,2880,0.18,0.16,0.17,6,150000,0.0906,-2400,7,2,0.857,2,147600,-52400,1.7,N/A,0,0,
